Umur,Stunting,Kurus,Normal,Normal,Normal,Gemuk,Obesitas
0,2.10,2.50,2.90,3.30,3.90,4.40,5.00
1,2.90,3.40,3.90,4.50,5.10,5.80,6.60
2,3.80,4.30,4.90,5.60,6.30,7.10,8.00
3,4.40,5.00,5.70,6.40,7.20,8.00,9.00
4,4.90,5.60,6.20,7.00,7.80,8.70,9.70
5,5.30,6.00,6.70,7.50,8.40,9.30,10.40
6,5.70,6.40,7.10,7.90,8.80,9.80,10.90
7,5.90,6.70,7.40,8.30,9.20,10.30,11.40
8,6.20,6.90,7.70,8.60,9.60,10.70,11.90
9,6.40,7.10,8.00,8.90,9.90,11.00,12.30
10,6.60,7.40,8.20,9.20,10.20,11.40,12.70
11,6.80,7.60,8.40,9.40,10.50,11.70,13.00
12,6.90,7.70,8.60,9.60,10.80,12.00,13.30
13,7.10,7.90,8.80,9.90,11.00,12.30,13.70
14,7.20,8.10,9.00,10.10,11.30,12.60,14.00
15,7.40,8.30,9.20,10.30,11.50,12.80,14.30
16,7.50,8.40,9.40,10.50,11.70,13.10,14.60
17,7.70,8.60,9.60,10.70,12.00,13.40,14.90
18,7.80,8.80,9.80,10.90,12.20,13.70,15.30
19,8.00,8.90,10.00,11.10,12.50,13.90,15.60
20,8.10,9.10,10.10,11.30,12.70,14.20,15.90
21,8.20,9.20,10.30,11.50,12.90,14.50,16.20
22,8.40,9.40,10.50,11.80,13.20,14.70,16.50
23,8.50,9.50,10.70,12.00,13.40,15.00,16.80
24,8.60,9.70,10.80,12.20,13.60,15.30,17.10
25,8.80,9.80,11.00,12.40,13.90,15.50,17.50
26,8.90,10.00,11.20,12.50,14.10,15.80,17.80
27,9.00,10.10,11.30,12.70,14.30,16.10,18.10
28,9.10,10.20,11.50,12.90,14.50,16.30,18.40
29,9.20,10.40,11.70,13.10,14.80,16.60,18.70
30,9.40,10.50,11.80,13.30,15.00,16.90,19.00
31,9.50,10.70,12.00,13.50,15.20,17.10,19.30
32,9.60,10.80,12.10,13.70,15.40,17.40,19.60
33,9.70,10.90,12.30,13.80,15.60,17.60,19.90
34,9.80,11.00,12.40,14.00,15.80,17.80,20.20
35,9.90,11.20,12.60,14.20,16.00,18.10,20.40
36,10.00,11.30,12.70,14.30,16.20,18.30,20.70
37,10.10,11.40,12.90,14.50,16.40,18.60,21.00
38,10.20,11.50,13.00,14.70,16.60,18.80,21.30
39,10.30,11.60,13.10,14.80,16.80,19.00,21.60
40,10.40,11.80,13.30,15.00,17.00,19.30,21.90
41,10.50,11.90,13.40,15.20,17.20,19.50,22.10
42,10.60,12.00,13.60,15.30,17.40,19.70,22.40
43,10.70,12.10,13.70,15.50,17.60,20.00,22.70
44,10.80,12.20,13.80,15.70,17.80,20.20,23.00
45,10.90,12.40,14.00,15.80,18.00,20.50,23.30
46,11.00,12.50,14.10,16.00,18.20,20.70,23.60
47,11.10,12.60,14.30,16.20,18.40,20.90,23.90
48,11.20,12.70,14.40,16.30,18.60,21.20,24.20
49,11.30,12.80,14.50,16.50,18.80,21.40,24.50
50,11.40,12.90,14.70,16.70,19.00,21.70,24.80
51,11.50,13.10,14.80,16.80,19.20,21.90,25.10
52,11.60,13.20,15.00,17.00,19.40,22.20,25.40
53,11.70,13.30,15.10,17.20,19.60,22.40,25.70
54,11.80,13.40,15.20,17.30,19.80,22.70,26.00
55,11.90,13.50,15.40,17.50,20.00,22.90,26.30
56,12.00,13.60,15.50,17.70,20.20,23.20,26.60
57,12.10,13.70,15.60,17.80,20.40,23.40,26.90
58,12.20,13.80,15.80,18.00,20.60,23.70,27.20
59,12.30,14.00,15.90,18.20,20.80,23.90,27.60
60,12.40,14.10,16.00,18.30,21.00,24.20,27.90
