Umur,Sangat Pendek,Pendek,Normal,Normal,Normal,Tinggi,Sangat Tinggi
0,44.20,46.10,48.00,49.90,51.80,53.70,55.60
1,48.90,50.80,52.80,54.70,56.70,58.60,60.60
2,52.40,54.40,56.40,58.40,60.40,62.40,64.40
3,55.30,57.30,59.40,61.40,63.50,65.50,67.60
4,57.60,59.70,61.80,63.90,66.00,68.00,70.10
5,59.60,61.70,63.80,65.90,68.00,70.10,72.20
6,61.20,63.30,65.50,67.60,69.80,71.90,74.00
7,62.70,64.80,67.00,69.20,71.30,73.50,75.70
8,64.00,66.20,68.40,70.60,72.80,75.00,77.20
9,65.20,67.50,69.70,72.00,74.20,76.50,78.70
10,66.40,68.70,71.00,73.30,75.60,77.90,80.10
11,67.60,69.90,72.20,74.50,76.90,79.20,81.50
12,68.60,71.00,73.40,75.70,78.10,80.50,82.90
13,69.60,72.10,74.50,76.90,79.30,81.80,84.20
14,70.60,73.10,75.60,78.00,80.50,83.00,85.50
15,71.60,74.10,76.60,79.10,81.70,84.20,86.70
16,72.50,75.00,77.60,80.20,82.80,85.40,88.00
17,73.30,76.00,78.60,81.20,83.90,86.50,89.20
18,74.20,76.90,79.60,82.30,85.00,87.70,90.40
19,75.00,77.70,80.50,83.20,86.00,88.80,91.50
20,75.80,78.60,81.40,84.20,87.00,89.80,92.60
21,76.50,79.40,82.30,85.10,88.00,90.90,93.80
22,77.20,80.20,83.10,86.00,89.00,91.90,94.90
23,78.00,81.00,83.90,86.90,89.90,92.90,95.90
24,78.70,81.70,84.80,87.80,90.90,93.90,97.00
25,78.60,81.70,84.90,88.00,91.10,94.20,97.30
26,79.30,82.50,85.60,88.80,92.00,95.20,98.30
27,79.90,83.10,86.40,89.60,92.90,96.10,99.30
28,80.50,83.80,87.10,90.40,93.70,97.00,100.30
29,81.10,84.50,87.80,91.20,94.50,97.90,101.20
30,81.70,85.10,88.50,91.90,95.30,98.70,102.10
31,82.30,85.70,89.20,92.70,96.10,99.60,103.00
32,82.80,86.40,89.90,93.40,96.90,100.40,103.90
33,83.40,86.90,90.50,94.10,97.60,101.20,104.80
34,83.90,87.50,91.10,94.80,98.40,102.00,105.60
35,84.40,88.10,91.80,95.40,99.10,102.70,106.40
36,85.00,88.70,92.40,96.10,99.80,103.50,107.20
37,85.50,89.20,93.00,96.70,100.50,104.20,108.00
38,86.00,89.80,93.60,97.40,101.20,105.00,108.80
39,86.50,90.30,94.20,98.00,101.80,105.70,109.50
40,87.00,90.90,94.70,98.60,102.50,106.40,110.30
41,87.50,91.40,95.30,99.20,103.20,107.10,111.00
42,88.00,91.90,95.90,99.90,103.80,107.80,111.70
43,88.40,92.40,96.40,100.40,104.50,108.50,112.50
44,88.90,93.00,97.00,101.00,105.10,109.10,113.20
45,89.40,93.50,97.50,101.60,105.70,109.80,113.90
46,89.80,94.00,98.10,102.20,106.30,110.40,114.60
47,90.30,94.40,98.60,102.80,106.90,111.10,115.20
48,90.70,94.90,99.10,103.30,107.50,111.70,115.90
49,91.20,95.40,99.70,103.90,108.10,112.40,116.60
50,91.60,95.90,100.20,104.40,108.70,113.00,117.30
51,92.10,96.40,100.70,105.00,109.30,113.60,117.90
52,92.50,96.90,101.20,105.60,109.90,114.20,118.60
53,93.00,97.40,101.70,106.10,110.50,114.90,119.20
54,93.40,97.80,102.30,106.70,111.10,115.50,119.90
55,93.90,98.30,102.80,107.20,111.70,116.10,120.60
56,94.30,98.80,103.30,107.80,112.30,116.70,121.20
57,94.70,99.30,103.80,108.30,112.80,117.40,121.90
58,95.20,99.70,104.30,108.90,113.40,118.00,122.60
59,95.60,100.20,104.80,109.40,114.00,118.60,123.20
60,96.10,100.70,105.30,110.00,114.60,119.20,123.90
